,TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD,ETEER_RUNTIME
60,D1,gridsearch,DL-SKLEARN,RandomForestRegressor,119.20622708908228,204.57627362699,55.3459,78.4314,0.7057,982.8180568218232,6.311413764953613,0.1034042835235595,1,st5,1,KiralyMSMApproximateClustering,0.3,5.771385192871094
61,D2,gridsearch,DL-SKLEARN,RandomForestRegressor,107.60501078665226,814.5281961029075,78.4566,85.8486,0.9139,1101.612067937851,47.20548582077026,0.85398268699646,1,st5,100,KiralyMSMApproximateClustering,0.1,3.432310104370117
62,D3,gridsearch,DL-SKLEARN,RandomForestRegressor,115.12228166169992,466.6512696196969,57.1667,59.1887,0.9658,1234.4952762126925,25.593095302581787,0.4295575618743896,1,st5,3,UniqueMappingClustering,0.05,5.847276926040649
63,D4,gridsearch,DL-SKLEARN,RandomForestRegressor,106.51814996970064,2552.463408762048,98.1319,98.6011,0.9952,1437.9993250370026,8.044514656066895,0.120732307434082,1,st5,35,KiralyMSMApproximateClustering,0.3,5.370705842971802
64,D5,gridsearch,DL-SKLEARN,RandomForestRegressor,108.4709465499824,388.65361903563,74.1636,78.9235,0.9397,994.9075314998628,38.1631875038147,0.6728053092956543,1,sminilm,1,KiralyMSMApproximateClustering,0.7,2.0470404624938965
65,D6,gridsearch,DL-SKLEARN,RandomForestRegressor,117.93195864549207,396.7244383890355,45.3333,60.4225,0.7503,1329.8291006088257,7.8642191886901855,0.0792882442474365,1,sminilm,2,KiralyMSMApproximateClustering,0.7,1.091916561126709
66,D7,gridsearch,DL-SKLEARN,RandomForestRegressor,115.04125291830678,260.9544234839603,62.1178,67.76,0.9167,1343.8144946098328,47.72350740432739,0.468775987625122,1,sminilm,1,KiralyMSMApproximateClustering,0.6,1.5752086639404297
67,D8,gridsearch,DL-SKLEARN,RandomForestRegressor,129.84957035892288,757.0148865612672,40.7814,49.5337,0.8233,1359.9293880462646,43.95809435844421,0.4237270355224609,1,st5,93,KiralyMSMApproximateClustering,0.15,25.839627265930176
68,D9,gridsearch,DL-SKLEARN,RandomForestRegressor,83.73354821985967,1429.3270577699086,94.3485,94.9241,0.9939,1218.7998840808868,41.87770462036133,0.4586341381072998,1,st5,73,KiralyMSMApproximateClustering,0.4,76.68009185791016
69,D10,gridsearch,DL-SKLEARN,RandomForestRegressor,117.1761943596746,631.1483670014699,54.9952,56.117,0.98,1579.8445913791656,50.90659141540527,0.5779235363006592,1,st5,96,KiralyMSMApproximateClustering,0.3,52.05922794342041
70,D1,optuna,DL-SKLEARN,RandomForestRegressor,89.58109877445425,403.9422178650616,55.0,78.4314,0.7012,659.8163020610809,23.49406623840332,0.1700837612152099,1,st5,6,UniqueMappingClustering,0.7254,0.3952
71,D2,optuna,DL-SKLEARN,RandomForestRegressor,82.31822105405875,623.5842115443493,78.4566,85.8486,0.9139,870.7303285598755,20.63936448097229,0.1539843082427978,1,st5,100,KiralyMSMApproximateClustering,0.272,1.2205
72,D3,optuna,DL-SKLEARN,RandomForestRegressor,90.52672729328074,572.4610319801428,56.0706,59.1887,0.9473,929.8791470527648,19.4041554927826,0.1443939208984375,1,st5,1,UniqueMappingClustering,0.1571,2.5484
73,D4,optuna,DL-SKLEARN,RandomForestRegressor,86.6728553916147,2083.5837163918045,98.1761,98.6011,0.9957,898.3599090576172,22.763265132904053,0.1576740741729736,1,st5,100,KiralyMSMApproximateClustering,0.1908,5.4262
74,D5,optuna,DL-SKLEARN,RandomForestRegressor,83.10169900968612,369.7830691925357,71.4286,78.9235,0.905,591.8546171188354,3.767871856689453,0.0303764343261718,1,sminilm,1,UniqueMappingClustering,0.7228,2.3478
75,D6,optuna,DL-SKLEARN,RandomForestRegressor,92.41400524757844,374.0150585070199,47.6932,60.4225,0.7893,962.6287698745728,23.012338399887085,0.1713247299194336,1,sminilm,1,KiralyMSMApproximateClustering,0.679,0.7186
76,D7,optuna,DL-SKLEARN,RandomForestRegressor,89.47459057031446,274.6653546451062,62.1979,67.76,0.9179,827.9103384017944,16.85879921913147,0.1284506320953369,1,sminilm,1,KiralyMSMApproximateClustering,0.6013,0.8347
77,D8,optuna,DL-SKLEARN,RandomForestRegressor,101.23174269432997,669.5281156129031,40.7814,49.5337,0.8233,883.2928216457367,20.7364661693573,0.149409532546997,1,st5,100,KiralyMSMApproximateClustering,0.2552,28.9894
78,D9,optuna,DL-SKLEARN,RandomForestRegressor,70.73428165642856,1428.8406608724842,94.3686,94.9241,0.9941,608.7620820999146,11.727332830429075,0.0886900424957275,1,st5,100,KiralyMSMApproximateClustering,0.6263,47.8723
79,D10,optuna,DL-SKLEARN,RandomForestRegressor,94.1967497293878,411.8454062080035,4.2453,56.117,0.0757,963.5088729858398,33.805649518966675,0.2586746215820312,1,st5,1,KiralyMSMApproximateClustering,0.8599,10.4494
80,D1,all,DL-SKLEARN,RandomForestRegressor,114.64122529223384,287.58892303223723,55.873,78.4314,0.7124,1911.504421710968,13.302583932876589,0.1564397811889648,1,st5,1,KiralyMSMApproximateClustering,0.6271,4.0514
81,D2,all,DL-SKLEARN,RandomForestRegressor,103.38041668080515,676.6970843518255,74.2145,85.8486,0.8645,1723.785338640213,13.081522464752195,0.1704413890838623,1,sminilm,100,KiralyMSMApproximateClustering,0.2,5.846991777420044
82,D3,all,DL-SKLEARN,RandomForestRegressor,112.9794215654303,469.2148384106557,57.7127,59.1887,0.9751,2226.3856387138367,13.19396686553955,0.1597974300384521,1,st5,100,UniqueMappingClustering,0.05,6.0128
83,D4,all,DL-SKLEARN,RandomForestRegressor,105.5518944325906,2296.605299305636,98.1761,98.6011,0.9957,2442.5771787166595,72.13691663742065,0.7721600532531738,1,st5,100,KiralyMSMApproximateClustering,0.1283,5.3053
84,D5,all,DL-SKLEARN,RandomForestRegressor,105.0781181944295,384.0914707037316,76.2613,78.9235,0.9663,1491.3347175121307,12.72583270072937,0.1641783714294433,1,sminilm,1,KiralyMSMApproximateClustering,0.6625,1.3894
85,D6,all,DL-SKLEARN,RandomForestRegressor,117.0981250307456,377.872687461464,42.6462,60.4225,0.7058,1878.8632876873016,62.79300260543823,0.5314819812774658,1,st5,1,KiralyMSMApproximateClustering,0.8,1.2969164848327637
86,D7,all,DL-SKLEARN,RandomForestRegressor,112.19971536398803,271.9915073865162,58.4911,67.76,0.8632,1938.264778614044,12.621289491653442,0.1057572364807128,1,sminilm,1,KiralyMSMApproximateClustering,0.5607,1.7427
87,D8,all,DL-SKLEARN,RandomForestRegressor,125.95646830165178,707.7175383972171,40.7814,49.5337,0.8233,2006.4865808486936,12.845907211303713,0.1050751209259033,1,st5,100,KiralyMSMApproximateClustering,0.0701,22.1838
88,D9,all,DL-SKLEARN,RandomForestRegressor,83.76551583918474,1524.9451828741942,94.3686,94.9241,0.9941,1966.6474056243896,58.02344608306885,0.5216927528381348,1,st5,100,KiralyMSMApproximateClustering,0.3534,57.2534
89,D10,all,DL-SKLEARN,RandomForestRegressor,115.38417538771922,470.4634196025946,3.573,56.117,0.0637,1978.5417160987847,19.077752351760864,0.1786003112792968,1,st5,65,KiralyMSMApproximateClustering,0.8655,17.7956
