sampler,dataset,area_trapz,auc,runtime
tpe,D1,2994.9007,0.599,26.1879
random,D1,3009.4144,0.6019,30.1728
qmc,D1,2996.4706,0.5993,28.9467
tpe,D2,3791.9246,0.7584,18.4553
random,D2,3785.6621,0.7571,21.7011
qmc,D2,3755.3072,0.7511,22.0431
tpe,D3,2614.0771,0.5228,34.3695
random,D3,2618.753,0.5238,48.1697
qmc,D3,2618.9656,0.5238,47.0677
tpe,D4,4408.3062,0.8817,55.5173
random,D4,4408.1121,0.8816,48.2209
qmc,D4,4423.12,0.8846,49.8769
tpe,D5,3295.6242,0.6591,100.6273
random,D5,3311.5886,0.6623,109.6584
qmc,D5,3336.9081,0.6674,107.321
tpe,D6,2378.6669,0.4757,90.5906
random,D6,2326.7682,0.4654,132.5332
qmc,D6,2381.3032,0.4763,129.9712q
tpe,D7,2972.8073,0.5946,96.6456
random,D7,2976.0726,0.5952,139.1777
qmc,D7,2987.1786,0.5974,135.1673
tpe,D8,2054.6076,0.4109,382.2385
random,D8,1986.5764,0.3973,342.9341
qmc,D8,1895.0888,0.379,346.483
tpe,D9,4216.802,0.8434,1500.299
random,D9,4224.1768,0.8448,934.5454
qmc,D9,4244.9275,0.849,886.0959
tpe,D10,2372.9834,0.4746,759.3986
random,D10,2399.2449,0.4798,791.3449
qmc,D10,2389.2841,0.4779,781.6561
