TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, optuna, Ridge, 207.56, 414.9088, 54.321, 77.0833, 0.7047, 6.751, 0.0291, 0.0055
D2, optuna, Ridge, 201.732, 705.3666, 4.1818, 85.8486, 0.0487, 6.694, 0.0243, 0.0052
D3, optuna, Ridge, 226.8827, 83028.0549, 57.5068, 59.0871, 0.9733, 6.9164, 0.0299, 0.0057
D4, optuna, Ridge, 216.1008, 3881.5281, 98.3769, 98.5122, 0.9986, 6.724, 0.0257, 0.0057
D5, optuna, Ridge, 210.4312, 515.1328, 67.1792, 78.2517, 0.8585, 6.7997, 0.0305, 0.0063
D6, optuna, Ridge, 227.2377, 451.9832, 41.0042, 60.2534, 0.6805, 6.7189, 0.026, 0.0052
D7, optuna, Ridge, 205.8901, 480.8359, 45.4102, 67.7308, 0.6705, 6.8327, 0.0256, 0.0052
D8, optuna, Ridge, 236.2654, 6858.0361, 40.1214, 48.5417, 0.8265, 7.1116, 0.0257, 0.0053
D9, optuna, Ridge, 210.3419, 101766.7829, 92.8452, 94.9211, 0.9781, 7.0404, 0.0266, 0.0053
D10, optuna, Ridge, 212.6501, 145593393.5332, 2.1458, 56.117, 0.0382, 6.7168, 0.0263, 0.0053
